dnaSampleID,internalLabID,nucleicAcidConcentration,plateNumber,Well_Number,JGI_Well_Number,DNA_volume,notes
UNDE_044-M-20230809-comp,23S_23_2135,102,23S_23,C07,C07,30,
SRER_001-M-20230821-comp,23S_23_2136,38,23S_23,D07,D07,30,
SRER_002-M-20230821-comp,23S_23_2137,12,23S_23,E07,E07,50,more DNA needed for this sample
SRER_003-M-20230821-comp,23S_23_2138,28,23S_23,F07,F07,30,
SRER_004-M-20230821-comp,23S_23_2139,48,23S_23,G07,G07,30,
ORNL_006-M-20230628-comp,23S_23_2092,88,23S_23,H01,H07,30,sample from another row used here
SCBI_010-M-20230821-comp,23S_23_2173,104,23S_23,A12,A08,30,sample from another row used here
SRER_043-M-20230821-comp,23S_23_2142,39,23S_23,B08,B08,30,
SRER_047-M-20230821-comp,23S_23_2143,13,23S_23,C08,C08,50,more DNA needed for this sample
OSBS_002-M-20230710-comp,23S_23_2180,15,23S_23,H12,D08,50,sample from another row used here; more DNA needed for this sample
SJER_025-M-20230302-comp,23S_11_1013,26,23S_11,B09,E08,30,"sample in this cell did not pass, another sample substituted"
DCFS_003-M-20230802-comp,23S_23_2146,187,23S_23,F08,F08,30,
DCFS_004-M-20230801-comp,23S_23_2147,242,23S_23,G08,G08,30,
DCFS_006-M-20230801-comp,23S_23_2148,193,23S_23,H08,H08,30,
DCFS_007-M-20230726-comp,23S_23_2149,126,23S_23,A09,A09,30,
DCFS_008-M-20230726-comp,23S_23_2150,158,23S_23,B09,B09,30,
DCFS_009-M-20230801-comp,23S_23_2151,52,23S_23,C09,C09,30,
DCFS_062-M-20230725-comp,23S_23_2152,279,23S_23,D09,D09,30,
DCFS_062-O-20230725-comp,23S_23_2153,274,23S_23,E09,E09,30,
DCFS_063-M-20230725-comp,23S_23_2154,232,23S_23,F09,F09,30,
DCFS_063-O-20230725-comp,23S_23_2155,314,23S_23,G09,G09,30,
DCFS_065-M-20230725-comp,23S_23_2156,162,23S_23,H09,H09,30,
DCFS_067-M-20230725-comp,23S_23_2157,104,23S_23,A10,A10,30,
WOOD_001-M-20230704-comp,23S_23_2158,176,23S_23,B10,B10,30,
WOOD_002-M-20230705-comp,23S_23_2159,13,23S_23,C10,C10,50,more DNA needed for this sample
WOOD_003-M-20230705-comp,23S_23_2160,166,23S_23,D10,D10,30,
WOOD_004-M-20230704-comp,23S_23_2161,271,23S_23,E10,E10,30,
WOOD_005-M-20230705-comp,23S_23_2162,184,23S_23,F10,F10,30,
WOOD_024-M-20230703-comp,23S_23_2163,142,23S_23,G10,G10,30,
WOOD_024-O-20230703-comp,23S_23_2164,281,23S_23,H10,H10,30,
WOOD_042-M-20230704-comp,23S_23_2165,154,23S_23,A11,A11,30,
WOOD_043-M-20230704-comp,23S_23_2166,187,23S_23,B11,B11,30,
WOOD_044-M-20230703-comp,23S_23_2167,182,23S_23,C11,C11,30,
WOOD_045-M-20230703-comp,23S_23_2168,226,23S_23,D11,D11,30,
SCBI_003-M-20230821-comp,23S_23_2169,221,23S_23,E11,E11,30,
SCBI_004-M-20230821-comp,23S_23_2170,127,23S_23,F11,F11,30,
SCBI_006-M-20230821-comp,23S_23_2171,175,23S_23,G11,G11,30,
SCBI_007-M-20230823-comp,23S_23_2172,216,23S_23,H11,H11,30,
LEAVE BLANK,,,,,A12,,
SCBI_045-M-20230822-comp,23S_23_2174,70,23S_23,B12,B12,30,
SCBI_047-M-20230822-comp,23S_23_2175,113,23S_23,C12,C12,30,
SCBI_049-M-20230822-comp,23S_23_2176,145,23S_23,D12,D12,30,
SCBI_067-M-20230822-comp,23S_23_2177,163,23S_23,E12,E12,30,
OSBS_001-M-20230711-comp,23S_23_2178,38,23S_23,F12,F12,30,
OSBS_001-O-20230711-comp,23S_23_2179,165,23S_23,G12,G12,30,
LEAVE BLANK,,,,,H12,,
