dnaSampleID,internalLabID,nucleicAcidConcentration,plateNumber,Well_Number,JGI_Well_Number,DNA_volume,notes
BONA_071-O-20240708-comp-DNA1,24S_18_1702,47,24S_18,Well_H12,G08,30,
BONA_080-M-20240709-comp-DNA1,24S_19_1706,76,24S_19,Well_E01,H08,30,
BONA_080-O-20240709-comp-DNA1,24S_19_1710,59,24S_19,Well_A02,A09,30,
BONA_084-M-20240708-comp-DNA1,24S_19_1714,30,24S_19,Well_E02,B09,30,
BONA_084-O-20240708-comp-DNA1,24S_19_1718,141,24S_19,Well_A03,C09,30,
SCBI_003-M-20240723-comp-DNA1,24S_19_1722,190,24S_19,Well_E03,D09,30,
SCBI_004-M-20240723-comp-DNA1,24S_19_1723,165,24S_19,Well_F03,E09,30,
SCBI_006-M-20240722-comp-DNA1,24S_19_1724,117,24S_19,Well_G03,F09,30,
SCBI_007-M-20240722-comp-DNA1,24S_19_1725,115,24S_19,Well_H03,G09,30,
SCBI_008-M-20240725-comp-DNA1,24S_19_1726,119,24S_19,Well_A04,H09,30,
SCBI_010-M-20240723-comp-DNA1,24S_19_1727,304,24S_19,Well_B04,A10,30,
SCBI_045-M-20240722-comp-DNA1,24S_19_1728,118,24S_19,Well_C04,B10,30,
SCBI_047-M-20240724-comp-DNA1,24S_19_1729,163,24S_19,Well_D04,C10,30,
SCBI_049-M-20240724-comp-DNA1,24S_19_1730,168,24S_19,Well_E04,D10,30,
SCBI_067-M-20240724-comp-DNA1,24S_19_1731,175,24S_19,Well_F04,E10,30,
DELA_001-M-20240709-comp-DNA1,24S_19_1792,47,24S_19,Well_C12,F10,30,
DELA_002-M-20240708-comp-DNA1,24S_19_1796,34,24S_19,Well_G12,G10,30,
DELA_003-M-20240708-comp-DNA1,24S_20_1800,79,24S_20,Well_D01,H10,30,
DELA_004-M-20240708-comp-DNA1,24S_20_1804,32,24S_20,Well_H01,A11,30,
DELA_005-M-20240708-comp-DNA1,24S_20_1808,47,24S_20,Well_D02,B11,30,
DELA_014-M-20240708-comp-DNA1,24S_20_1812,147,24S_20,Well_H02,C11,30,
DELA_037-M-20240709-comp-DNA1,24S_20_1816,76,24S_20,Well_D03,D11,30,
DELA_038-M-20240708-comp-DNA1,24S_20_1820,50,24S_20,Well_H03,E11,30,
DELA_040-M-20240709-comp-DNA1,24S_20_1824,117,24S_20,Well_D04,F11,30,
DELA_041-M-20240708-comp-DNA1,24S_20_1828,59,24S_20,Well_H04,G11,30,
TALL_001-M-20240619-comp-DNA1,24S_20_1832,47,24S_20,Well_D05,H11,30,
LEAVE BLANK,,,,,A12,,
TALL_003-M-20240618-comp-DNA1,24S_20_1840,46,24S_20,Well_D06,B12,30,
TALL_004-M-20240618-comp-DNA1,24S_20_1844,25,24S_20,Well_H06,C12,30,
TALL_006-M-20240619-comp-DNA1,24S_20_1848,31,24S_20,Well_D07,D12,30,
TALL_007-M-20240619-comp-DNA1,24S_20_1852,32,24S_20,Well_H07,E12,30,
TALL_044-M-20240619-comp-DNA1,24S_20_1856,47,24S_20,Well_D08,F12,30,
TALL_047-M-20240619-comp-DNA1,24S_20_1860,71,24S_20,Well_H08,G12,30,
LEAVE BLANK,,,,,H12,,
